datetime,bike_count,bike_total_distance,van_count,van_total_distance
2024_03_17_22_24_27_1710710667;16;37099;2;14456
2024_03_17_22_24_27_1710710667;17;39433;2;15570
2024_03_17_22_24_28_1710710668;18;42085;2;17657
2024_03_17_22_24_28_1710710668;18;43444;2;15994
2024_03_17_22_24_28_1710710668;16;35916;2;15679
2024_03_17_22_24_29_1710710669;19;46478;2;17721
2024_03_17_22_24_29_1710710669;18;48128;2;17894
2024_03_17_22_24_29_1710710669;17;36808;2;15155
2024_03_17_22_24_29_1710710669;19;45948;2;16642
2024_03_17_22_24_29_1710710669;20;49910;3;21125
2024_03_17_22_24_30_1710710670;18;42350;2;17802
2024_03_17_22_24_30_1710710670;18;44751;2;15989
2024_03_17_22_24_30_1710710670;17;39910;2;16561
2024_03_17_22_24_30_1710710670;19;44389;2;17629
2024_03_17_22_24_30_1710710670;18;40299;2;14667
2024_03_17_22_24_31_1710710671;17;40696;2;17130
2024_03_17_22_24_31_1710710671;18;39880;2;15996
2024_03_17_22_24_31_1710710671;21;49095;3;18718
2024_03_17_22_24_31_1710710671;19;47211;3;18855
2024_03_17_22_24_31_1710710671;19;43450;2;18547
2024_03_17_22_24_31_1710710671;19;44947;2;18071
2024_03_17_22_27_46_1710710866;18;40288;2;16263
2024_03_17_22_27_46_1710710866;19;42820;2;18117
2024_03_17_22_27_47_1710710867;21;46807;3;17376
2024_03_17_22_35_07_1710711307;18;43601;2;15343
2024_03_17_22_35_08_1710711308;17;45649;2;18289
2024_03_17_22_35_08_1710711308;18;42879;2;16120
2024_03_17_22_35_09_1710711309;20;46688;3;18994
2024_03_17_22_35_10_1710711310;17;40595;2;16559
2024_03_17_22_35_10_1710711310;18;43039;2;14326
2024_03_17_22_35_10_1710711310;16;36668;2;15489
2024_03_17_22_35_11_1710711311;18;38623;2;14766
2024_03_17_22_35_11_1710711311;16;44682;2;16468
2024_03_17_22_35_11_1710711311;19;44040;2;16376
2024_03_17_22_35_11_1710711311;19;47085;3;19062
2024_03_17_22_35_12_1710711312;19;43004;2;15719
2024_03_17_22_35_12_1710711312;17;40793;2;15041
2024_03_17_22_35_12_1710711312;19;45176;2;16558
2024_03_17_22_35_13_1710711313;21;48082;3;19631
2024_03_17_22_35_13_1710711313;19;43794;2;17292
2024_03_17_22_35_13_1710711313;19;47029;2;16558
2024_03_17_22_35_14_1710711314;17;39171;2;16917
2024_03_17_22_35_14_1710711314;19;45938;2;18174
2024_03_17_22_35_15_1710711315;17;42798;2;16237
2024_03_17_22_35_15_1710711315;17;40520;2;16838
2024_03_17_22_35_15_1710711315;20;44855;3;17179
2024_03_17_22_38_27_1710711507;17;40489;2;16051
2024_03_17_22_38_28_1710711508;21;47523;3;20077
2024_03_17_22_38_29_1710711509;18;44079;2;14787
2024_03_17_22_38_29_1710711509;20;40892;3;16458
2024_03_17_22_38_30_1710711510;18;41791;2;15327
2024_03_17_22_38_30_1710711510;19;41747;2;15623
2024_03_17_22_38_31_1710711511;19;43282;3;18064
2024_03_17_22_38_32_1710711512;18;44844;2;16980
2024_03_17_22_38_32_1710711512;19;42192;2;14747
2024_03_17_22_38_33_1710711513;19;40130;2;14513
2024_03_17_22_38_33_1710711513;21;38617;3;14911
2024_03_17_22_38_34_1710711514;19;40725;2;15664
2024_03_17_22_38_34_1710711514;19;41303;2;15690
2024_03_17_22_38_34_1710711514;17;37121;2;15303
2024_03_17_22_38_35_1710711515;19;41043;2;15682
2024_03_17_22_38_35_1710711515;20;41601;3;17955
2024_03_17_22_41_49_1710711709;17;39501;2;16573
2024_03_17_22_41_49_1710711709;18;40743;2;16154
2024_03_17_22_41_50_1710711710;19;44685;2;17085
2024_03_17_22_41_50_1710711710;21;43166;3;16948
2024_03_17_22_41_50_1710711710;18;41390;2;17272
2024_03_17_22_41_51_1710711711;18;38114;2;14616
2024_03_17_22_41_51_1710711711;18;45339;2;18894
2024_03_17_22_41_52_1710711712;20;47808;3;18125
2024_03_17_22_41_52_1710711712;19;44092;2;16741
2024_03_17_22_41_53_1710711713;18;39023;2;15674
2024_03_17_22_41_54_1710711714;19;43503;3;18995
2024_03_17_22_41_54_1710711714;19;44767;2;19125
2024_03_17_22_41_55_1710711715;19;39766;2;14827
2024_03_17_22_41_55_1710711715;19;43747;2;18745
2024_03_17_22_41_55_1710711715;19;40394;2;16157
2024_03_17_22_41_56_1710711716;21;49229;3;20799
2024_03_17_22_41_56_1710711716;19;43224;2;15408
2024_03_17_22_41_57_1710711717;20;42033;3;18541
2024_03_17_22_45_10_1710711910;18;41278;2;16717
2024_03_17_22_45_10_1710711910;17;39988;2;14123
2024_03_17_22_45_10_1710711910;18;44860;2;16141
2024_03_17_22_45_11_1710711911;19;39460;2;16498
2024_03_17_22_45_11_1710711911;18;43618;2;18295
2024_03_17_22_45_12_1710711912;21;41961;3;17942
2024_03_17_22_45_13_1710711913;19;42364;2;16059
2024_03_17_22_45_14_1710711914;20;44524;3;16358
2024_03_17_22_45_14_1710711914;18;44673;2;17004
2024_03_17_22_45_15_1710711915;19;43285;2;15735
2024_03_17_22_45_15_1710711915;19;42664;3;17623
2024_03_17_22_45_16_1710711916;19;42058;2;16055
2024_03_17_22_45_16_1710711916;19;41265;2;16851
2024_03_17_22_45_16_1710711916;19;39587;2;16066
2024_03_17_22_45_17_1710711917;21;44878;3;17707
2024_03_17_22_45_18_1710711918;19;41226;2;17678
2024_03_17_22_45_18_1710711918;20;42449;3;16213
2024_03_17_22_48_30_1710712110;19;43555;2;16588
2024_03_17_22_48_31_1710712111;18;42089;2;14707
2024_03_17_22_48_32_1710712112;18;45873;2;16768
2024_03_17_22_48_33_1710712113;19;40590;2;15543
2024_03_17_22_48_33_1710712113;19;41172;2;15303
2024_03_17_22_48_33_1710712113;21;40691;3;16289
2024_03_17_22_48_35_1710712115;18;43151;2;17128
2024_03_17_22_48_36_1710712116;20;43862;3;18196
2024_03_17_22_48_36_1710712116;19;42732;3;18327
2024_03_17_22_48_37_1710712117;19;39047;2;15436
2024_03_17_22_48_37_1710712117;19;37518;2;15170
2024_03_17_22_48_38_1710712118;19;40086;2;17217
2024_03_17_22_48_38_1710712118;21;42598;3;17816
2024_03_17_22_48_38_1710712118;19;42407;2;15175
2024_03_17_22_51_50_1710712310;20;41505;3;15298
2024_03_17_22_51_51_1710712311;18;43095;2;17486
2024_03_17_22_51_52_1710712312;20;45991;3;17540
2024_03_17_22_51_52_1710712312;19;39950;2;14470
2024_03_17_22_51_53_1710712313;20;44667;3;20018
2024_03_17_22_51_53_1710712313;19;43653;2;16506
2024_03_17_22_51_54_1710712314;18;40120;2;16080
2024_03_17_22_51_54_1710712314;19;43028;2;15272
2024_03_17_22_51_55_1710712315;21;44521;3;20379
2024_03_17_22_51_57_1710712317;20;45909;3;16673
2024_03_17_22_51_57_1710712317;21;45487;3;17624
2024_03_17_22_51_58_1710712318;19;45462;3;19080
