103	Engel & Völkers	W	-2.670201	42.845181
104	Perfumería Ibarrondo	P	-2.670203	42.845226
105	SKFK	P	-2.670259	42.84523
106	Clínica Dental Dr. Manuel Yanguas	P	-2.670299	42.845217
107	Harria Restaurante	R	-2.670303	42.845302
108	Fueros	R	-2.670417	42.845377
109	Pink Fueros	S	-2.670466	42.845399
110	Wonders	R	-2.670632	42.84553
111	Calzados Orlando	P	-2.670736	42.845617
112	estanco en C	P	-2.670881	42.845661
113	Anny 2	P	-2.671002	42.845718
114	Lotería Nº 1 Vitoria	P	-2.671106	42.845765
115	Farmazia	P	-2.671058	42.845836
116	La Teresa	R	-2.671245	42.845751
117	Top Top Vitoria	P	-2.671327	42.845838
118	PACOMARTINEZ	P	-2.671353	42.845812
119	So Wood	R	-2.671534	42.845873
120	Flying Tiger Copenhagen	P	-2.671567	42.845877
121	bubbles	R	-2.671691	42.845887
122	Galerias Itaca	P	-2.671746	42.845882
123	Caronte Web Studio	W	-2.671887	42.845898
124	Calzedonia	P	-2.672092	42.844863
125	Deutsche Bank	W	-2.671809	42.844849
126	Rituals	P	-2.671849	42.844853
127	ULANKA	P	-2.671393	42.844816
128	Desigual	P	-2.671319	42.844812
129	Farmacia Lda. Adela Deleuze Jiménez	P	-2.671201	42.844703
130	JACK & JONES	P	-2.671003	42.844781
131	MásVisión Vitoria	P	-2.670618	42.844758
132	Lashes & Go Vitoria	W	-2.670319	42.844668
133	Clínica Dental María Teresa Urraca	P	-2.67029	42.844732
134	Joyerías Siglo XXI	P	-2.670141	42.84473
135	Decathlon City Vitoria	P	-2.670029	42.844693
136	Claire's	P	-2.66993	42.844731
137	Ibercaja Banco	W	-2.669918	42.844517
138	Generación X Vitoria	P	-2.66996	42.84436
139	Juguettos	P	-2.669981	42.84433
140	Ciudadella	P	-2.670015	42.844141
141	Bertiz okindegia	R	-2.670005	42.843946
142	Domingo Lafuente Gutiérrez	P	-2.670197	42.84395
143	CaixaBank Empresa	W	-2.670109	42.843929
144	Bar Krunch	R	-2.670354	42.843963
145	Peluquería María Abad	W	-2.670321	42.844135
146	Teatro Principal Antzokia	W	-2.670712	42.844036
147	Think English Vitoria	W	-2.670877	42.844056
148	Peluquería Pelusas	W	-2.670969	42.844058
149	Solo en Casa	P	-2.670926	42.844159
150	Teachers' Idiomas	W	-2.671156	42.844079
151	KEA Basque Fine Food	R	-2.671405	42.844098
152	Urbieta	P	-2.671877	42.844157
153	Pub "Down Streeet"	R	-2.672206	42.844127
154	TotalEnergies	W	-2.672157	42.844187
155	Yves Rocher	P	-2.672221	42.844272
156	Casablanca Coffee Shop	R	-2.672351	42.844188
157	Unisa	P	-2.672217	42.844399
158	Dealz	P	-2.672182	42.844396
159	Kiko Milano	P	-2.672316	42.844688
160	Intimissimi	P	-2.672503	42.84496
161	Oficina Banco BBVA	W	-2.672679	42.84489
162	LABORAL Kutxa - Oficina de Empresa	W	-2.67253	42.844636
163	Expendeduria Número 15	P	-2.67257	42.844616
164	ZARA HOME	P	-2.67256	42.844457
165	Cafetería RÍO	R	-2.6726	42.844298
166	Goya Pastelería Confitería Bombonería	S	-2.672545	42.844215
167	Berenjenal	R	-2.672894	42.84418
168	Afede Vitoria	P	-2.673197	42.844212
169	elkar	P	-2.673363	42.844285
170	La Escotilla	R	-2.673589	42.844249
171	Twinsisters Shoe shop	P	-2.673702	42.844242
172	Caracola Comics	R	-2.673782	42.844276
173	Taberna "Alkartetxe"	R	-2.673898	42.844327
174	Óptica Lizarduy	P	-2.674076	42.844297
175	Centro de estudios "Konnos Business School"	W	-2.674204	42.844402
176	N	R	-2.674189	42.844534
177	Lokura Jamonera	R	-2.674175	42.844584
178	Confecciones Pinedo	P	-2.674192	42.844656
179	casa viva Vitoria	P	-2.674055	42.844751
180	General Alava,. 9 Vitoria	P	-2.673996	42.844924
181	PerretxiCo	R	-2.674121	42.844953
182	Araba Telefonia	P	-2.674123	42.845069
183	Alegría y Decision S.L.	P	-2.673957	42.845116
184	Wasabi Vitoria - Restaurante sushi japonés	R	-2.673652	42.84508
185	Carrefour Market	S	-2.673239	42.845027
186	NorteHispana Seguros	W	-2.673039	42.845032
187	LEGAL & TAX	W	-2.672886	42.845029
188	Repostería Creativa CARESSA	R	-2.674543	42.845092
189	Cervecería La Rubia	R	-2.674624	42.84503
190	StarsFour	H	-2.674508	42.844875
191	HF PUB	R	-2.674609	42.844824
192	MGS Seguros	W	-2.67436	42.844692
193	Hirviendo Proyectos S L	R	-2.674374	42.844574
194	Itzarri EPSV	W	-2.674589	42.844575
195	Oficina de Atención Ciudadana de San Antonio	W	-2.674415	42.844265
196	Musiketxea - Casa de la música	W	-2.674491	42.844004
197	Sistemas Arco impresión y reprografía	P	-2.674454	42.843737
198	Mini Fashion	P	-2.674467	42.843556
199	Peluquería "Ruiz de Azua"	W	-2.674666	42.843578
200	"Fondo de Armario"	P	-2.674124	42.843482
201	Cuadro Vichy	P	-2.674265	42.843945
202	De Larrea	P	-2.674274	42.843989
203	Dato 2	H	-2.674253	42.84407
204	Smoke Quality	P	-2.674033	42.84417
205	Miga Digital Design	W	-2.673581	42.844135
206	BM Supermercados	S	-2.673366	42.844084
207	Gimnasio AltaFit Vitoria Guridi	W	-2.673221	42.844092
208	UNIBASQ	W	-2.673075	42.844093
209	Arenal Perfumería	P	-2.672613	42.844025
210	Boutique Dedal	P	-2.672584	42.843907
211	Farmacia "Zulueta Fernández"	P	-2.672603	42.84385
212	Décimas	P	-2.672726	42.843706
213	Dato hotela	H	-2.672629	42.843684
214	GOCCO VITORIA	P	-2.672602	42.84359
215	Saburdi Taberna	R	-2.672612	42.8435
216	Scalpers	P	-2.672648	42.843467
217	Centro de Atención e Información de la Seguridad Social nº 60	W	-2.672803	42.843323
