datetime;bike_count;bike_total_distance;van_count;van_total_distance
2024_03_18_12_09_25_1710760165;20;42475;3;17195
2024_03_18_12_09_26_1710760166;20;41741;3;16834
2024_03_18_12_09_26_1710760166;19;36861;2;15370
2024_03_18_12_12_36_1710760356;20;44980;3;17306
2024_03_18_12_12_37_1710760357;22;42332;3;19168
2024_03_18_12_12_37_1710760357;21;37473;3;14774
2024_03_18_12_12_38_1710760358;20;43873;3;18982
2024_03_18_12_12_39_1710760359;20;44757;3;17950
2024_03_18_12_12_39_1710760359;19;42915;2;15751
2024_03_18_12_12_40_1710760360;19;42983;2;15038
2024_03_18_12_12_41_1710760361;19;40310;2;17003
2024_03_18_12_12_42_1710760362;20;46534;3;18736
2024_03_18_12_12_42_1710760362;20;41427;3;15785
2024_03_18_12_12_43_1710760363;20;41731;3;17071
2024_03_18_12_12_43_1710760363;20;41280;2;16848
2024_03_18_12_12_44_1710760364;21;40831;3;15773
2024_03_18_12_12_45_1710760365;19;41764;2;16238
2024_03_18_12_12_45_1710760365;18;41107;2;15475
2024_03_18_12_12_46_1710760366;19;40935;2;16493
2024_03_18_12_12_47_1710760367;20;39605;3;17312
2024_03_18_12_12_47_1710760367;20;39801;3;15592
2024_03_18_12_15_56_1710760556;20;43325;3;17180
2024_03_18_12_15_57_1710760557;21;45668;3;19291
2024_03_18_12_15_58_1710760558;20;43294;3;17574
2024_03_18_12_15_59_1710760559;22;42167;3;17627
2024_03_18_12_15_59_1710760559;21;42123;3;18469
2024_03_18_12_15_59_1710760559;20;42200;3;16834
2024_03_18_12_16_00_1710760560;20;40479;3;17771
2024_03_18_12_16_01_1710760561;20;46502;3;18014
2024_03_18_12_16_01_1710760561;19;42664;2;18170
2024_03_18_12_16_02_1710760562;19;39496;2;15773
2024_03_18_12_16_02_1710760562;20;38141;3;15732
2024_03_18_12_16_03_1710760563;19;40166;2;13493
2024_03_18_12_16_04_1710760564;20;43024;3;17848
2024_03_18_12_16_04_1710760564;20;44587;3;16526
2024_03_18_12_16_05_1710760565;20;37777;2;14517
2024_03_18_12_16_06_1710760566;21;41686;3;18170
2024_03_18_12_16_07_1710760567;19;44001;2;17173
2024_03_18_12_16_07_1710760567;19;42943;2;17061
2024_03_18_12_16_08_1710760568;18;44025;2;18179
2024_03_18_12_16_08_1710760568;20;43543;3;17831
2024_03_18_12_16_08_1710760568;20;42369;3;17377
2024_03_18_12_19_19_1710760759;20;42808;3;17305
2024_03_18_12_19_19_1710760759;21;41454;3;17191
2024_03_18_12_19_19_1710760759;20;39617;3;16270
2024_03_18_12_19_20_1710760760;22;41508;3;17090
2024_03_18_12_19_20_1710760760;21;45294;3;18459
2024_03_18_12_19_21_1710760761;20;39553;3;16036
2024_03_18_12_19_22_1710760762;20;39616;3;15652
2024_03_18_12_19_23_1710760763;20;42851;3;16732
2024_03_18_12_19_24_1710760764;19;42730;2;18556
2024_03_18_12_19_25_1710760765;19;41997;2;16801
2024_03_18_12_19_25_1710760765;20;42962;3;16649
2024_03_18_12_19_26_1710760766;20;42563;3;16332
2024_03_18_12_19_26_1710760766;19;43686;2;15185
2024_03_18_12_19_26_1710760766;20;42046;3;15028
2024_03_18_12_19_27_1710760767;20;46157;3;14841
2024_03_18_12_19_27_1710760767;20;41554;2;16591
2024_03_18_12_19_27_1710760767;20;42772;3;16838
2024_03_18_12_19_28_1710760768;21;42622;3;17134
2024_03_18_12_19_28_1710760768;19;39531;2;14784
2024_03_18_12_19_29_1710760769;19;42341;2;16342
2024_03_18_12_19_29_1710760769;18;41249;2;15915
