1	0	1
2	1	74
3	74	75
4	1	2
5	2	3
6	3	4
7	4	5
8	5	6
9	6	7
10	7	8
11	8	9
12	9	10
13	10	11
14	11	12
15	12	13
16	13	14
17	14	15
18	15	16
19	16	17
20	17	18
21	18	19
22	19	20
23	20	21
24	21	22
25	22	23
26	23	24
27	24	25
28	91	92
29	5	47
30	45	47
31	43	45
32	13	80
33	80	81
34	79	80
35	14	79
36	16	78
37	78	79
38	77	78
39	18	77
40	76	77
41	20	76
42	19	30
43	17	31
44	15	54
45	53	54
46	12	53
47	52	53
48	9	52
49	51	52
50	8	51
51	49	51
52	7	49
53	47	49
54	46	47
55	48	49
56	50	51
57	48	50
58	46	48
59	44	46
60	44	45
61	42	44
62	80	93
63	93	94
64	94	95
65	95	96
66	96	97
67	97	98
68	98	99
69	99	100
70	91	100
71	3	102
72	91	102
73	101	102
74	4	101
75	100	101
76	6	99
77	7	98
78	8	97
79	9	96
80	10	95
81	11	94
82	12	93
83	79	82
84	78	84
85	77	85
86	84	85
87	83	84
88	82	83
89	81	82
90	83	88
91	88	89
92	89	90
93	86	89
94	76	86
95	86	87
96	85	87
97	87	88
98	52	103
99	50	103
100	35	103
101	35	36
102	36	50
103	37	48
104	36	37
105	37	38
106	38	39
107	39	46
108	39	40
109	40	41
110	40	59
111	34	56
112	34	35
113	53	56
114	55	56
115	54	55
116	32	55
117	32	33
118	33	34
119	31	32
120	30	31
121	29	30
122	28	29
123	21	29
124	22	28
125	23	27
126	24	26
127	25	26
128	26	27
129	27	28
130	31	63
131	32	62
132	60	61
133	58	59
134	57	58
135	57	69
136	69	70
137	70	71
138	71	72
139	72	73
140	60	64
141	64	65
142	66	67
143	65	66
144	68	71
145	68	104
146	104	105
147	92	106
148	108	109
149	81	109
150	107	109
151	58	61
152	39	110
153	59	110
