1	0	44
2	44	45
3	43	44
4	42	43
5	41	42
6	37	41
7	40	41
8	40	43
9	38	40
10	38	48
11	48	49
12	44	49
13	47	48
14	38	39
15	15	39
16	14	15
17	14	37
18	29	37
19	25	26
20	24	25
21	23	24
22	23	28
23	25	27
24	26	29
25	28	29
26	22	23
27	21	22
28	20	21
29	22	30
30	28	30
31	29	31
32	31	36
33	30	31
34	31	32
35	14	36
36	35	36
37	32	33
38	33	34
39	32	35
40	34	35
41	14	50
42	34	50
43	20	33
44	19	20
45	19	34
46	13	50
47	15	18
48	46	49
49	39	47
50	46	47
51	45	46
52	1	45
53	0	1
54	1	2
55	18	45
56	2	18
57	17	18
58	15	16
59	12	13
60	12	19
61	9	13
62	9	16
63	8	9
64	16	17
65	3	17
66	2	3
67	8	17
68	4	8
69	3	4
70	4	5
71	7	8
72	11	12
73	9	11
74	7	10
75	10	11
76	5	7
77	5	6
78	6	10
79	37	38
