0.5	1435	1276.413000000001	1423	1266.516000000001	12	5.168000000000002
0.5	1435	1223.6119999999996	1417	1208.2879999999998	18	8.352000000000004
0.5	1435	1272.0519999999985	1418	1257.6119999999987	17	6.065000000000004
0.5	1435	1251.123	1426	1242.4380000000003	9	5.138000000000001
0.5	1435	1244.218000000001	1422	1232.3980000000006	13	5.898000000000002
0.55	1435	1250.6199999999997	1428	1242.8979999999995	7	4.805
0.55	1435	1259.9540000000022	1423	1249.1340000000023	12	5.259000000000002
0.55	1435	1251.9149999999993	1423	1241.2489999999993	12	5.931000000000002
0.55	1435	1260.6089999999983	1417	1243.949999999999	18	8.355000000000004
0.55	1435	1268.2929999999992	1424	1258.4449999999997	11	5.609000000000001
0.6	1435	1259.0439999999999	1431	1255.7069999999999	4	2.153
0.6	1435	1243.1249999999986	1424	1234.8149999999987	11	5.294000000000001
0.6	1435	1262.3860000000022	1428	1255.662000000002	7	3.6490000000000005
0.6	1435	1251.5489999999982	1426	1244.680999999998	9	3.9840000000000004
0.6	1435	1263.0180000000018	1427	1255.9960000000015	8	4.031000000000001
0.65	1435	1258.8449999999982	1428	1252.7689999999982	7	2.6590000000000003
0.65	1435	1260.5250000000021	1425	1250.9160000000022	10	5.081000000000001
0.65	1435	1244.261000000001	1431	1241.117000000001	4	1.338
0.65	1435	1289.6960000000015	1427	1282.9600000000014	8	4.023000000000001
0.65	1435	1243.4869999999964	1424	1234.8579999999963	11	5.508000000000002
0.7	1435	1250.025999999999	1428	1243.130999999999	7	3.681
0.7	1435	1238.883000000003	1429	1233.2580000000025	6	2.495
0.7	1435	1248.9119999999987	1426	1241.3179999999988	9	4.371
0.7	1435	1267.4479999999996	1433	1265.5889999999997	2	0.412
0.7	1435	1256.8839999999998	1426	1248.5589999999997	9	3.697
0.75	1435	1238.24	1428	1233.4699999999998	7	3.3740000000000006
0.75	1435	1265.8820000000014	1428	1259.977000000001	7	2.559
0.75	1435	1243.5260000000019	1429	1239.2130000000018	6	3.088
0.75	1435	1239.023000000001	1429	1232.8760000000013	6	3.83
0.75	1435	1252.8969999999988	1430	1248.0019999999988	5	2.959
0.8	1435	1258.494000000002	1430	1254.416000000002	5	2.386
0.8	1435	1257.3360000000014	1432	1254.3680000000013	3	1.3330000000000002
0.8	1435	1241.0680000000002	1429	1235.5870000000002	6	2.831
0.8	1435	1268.7379999999994	1428	1261.665999999999	7	3.259
0.8	1435	1257.1650000000025	1431	1253.7070000000026	4	1.8730000000000002
0.8500000000000001	1435	1256.1930000000018	1433	1254.1080000000018	2	1.08
0.8500000000000001	1435	1269.0179999999991	1434	1267.9289999999992	1	0.884
0.8500000000000001	1435	1240.5850000000003	1430	1234.9420000000002	5	2.2680000000000002
0.8500000000000001	1435	1241.38	1433	1239.448	2	0.858
0.8500000000000001	1435	1240.2320000000034	1432	1237.8360000000034	3	1.63
0.9	1435	1259.7489999999984	1433	1257.3509999999987	2	1.08
0.9	1435	1262.9819999999995	1435	1262.9819999999995	0	0
0.9	1435	1242.0719999999997	1429	1235.964	6	3.183
0.9	1435	1266.3570000000013	1432	1263.618000000001	3	1.286
0.9	1435	1229.104	1432	1226.4729999999997	3	1.312
0.95	1435	1233.2060000000001	1431	1230.3130000000003	4	2.149
0.95	1435	1277.485000000001	1430	1273.758000000001	5	3.166
0.95	1435	1261.4479999999996	1432	1258.9879999999996	3	1.3980000000000001
0.95	1435	1246.3090000000013	1428	1240.0950000000014	7	3.7060000000000004
0.95	1435	1254.8809999999994	1432	1252.2839999999994	3	1.4660000000000002
