0.65	1186	1023.0670000000019	1183	1019.3870000000019	3	1.7320000000000002
0.65	1186	1022.1939999999995	1183	1020.3449999999995	3	1.742
0.65	1186	1032.1460000000006	1176	1023.2850000000004	10	5.027000000000001
0.65	1186	1036.498999999999	1178	1030.935999999999	8	4.032
0.65	1186	1040.069	1182	1035.9310000000003	4	2.616
0.65	1186	1024.3200000000006	1181	1020.1130000000007	5	3.1140000000000003
0.65	1186	1037.4780000000017	1181	1033.5420000000017	5	1.565
0.65	1186	1014.7629999999998	1182	1010.4839999999999	4	2.496
0.65	1186	1040.5890000000009	1182	1037.3010000000008	4	2.394
0.65	1186	1028.3380000000002	1180	1021.5140000000004	6	3.4090000000000003
0.65	1186	1029.6580000000008	1184	1027.592000000001	2	1.424
0.65	1186	1030.1759999999988	1181	1026.496999999999	5	1.9129999999999998
0.65	1186	1011.1049999999999	1180	1005.2989999999999	6	3.075
0.65	1186	1035.0880000000006	1178	1028.3510000000008	8	4.010000000000001
0.65	1186	1037.6389999999994	1183	1035.7019999999993	3	1.553
0.65	1186	1021.5750000000007	1182	1018.1360000000008	4	2.1950000000000003
0.65	1186	1035.1179999999995	1177	1026.3869999999993	9	3.894
0.65	1186	1017.0819999999987	1182	1013.3859999999986	4	1.2610000000000001
0.65	1186	1034.531000000001	1183	1031.3050000000012	3	1.742
0.65	1186	1018.1110000000001	1180	1012.8830000000002	6	2.563
0.65	1186	1025.213999999999	1179	1018.502999999999	7	3.435
0.65	1186	1020.3440000000005	1180	1015.1890000000005	6	2.9770000000000003
0.65	1186	1028.5350000000012	1184	1026.4790000000012	2	1.115
0.65	1186	1039.046	1183	1036.308	3	1.69
0.65	1186	1017.522	1181	1014.325	5	1.6560000000000001
